azureanalyticspurviewshare,[isPrerelease=true;tfm=netstandard2.0]Azure.Analytics.Purview.Share,1.0.3-beta.20
azureidentitybrokeredauthentication,[isPrerelease=true;tfm=netstandard2.0]Azure.Identity.BrokeredAuthentication,1.0.0-beta.4
azureresourcemanagerhybriddata,[tfm=netstandard2.0]Azure.ResourceManager.HybridData,1.0.1
microsoftazureapplicationinsightsquery,[tfm=netstandard2.0]Microsoft.Azure.ApplicationInsights.Query,1.0.0
microsoftazurecognitiveservicescontentmoderator,[tfm=netstandard2.0]Microsoft.Azure.CognitiveServices.ContentModerator,2.0.0
microsoftazurecognitiveservicesformrecognizer,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.CognitiveServices.FormRecognizer,0.8.0-preview
microsoftazurecognitiveservicesknowledgeqnamaker,[tfm=netstandard2.0]Microsoft.Azure.CognitiveServices.Knowledge.QnAMaker,2.0.1
microsoftazurecognitiveserviceslanguagetextanalytics,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.CognitiveServices.Language.TextAnalytics,4.1.0-preview.2
microsoftazurecontainerregistry,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.ContainerRegistry,1.0.0-preview.2
microsoftazurecosmostable,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Cosmos.Table,2.0.0-preview
microsoftazuredevicesclient,[tfm=netstandard2.0]Microsoft.Azure.Devices.Client,1.36.6
microsoftazuredevicesprovisioningtransportamqp,[tfm=netstandard2.0]Microsoft.Azure.Devices.Provisioning.Transport.Amqp,1.13.7
microsoftazureeventgrid,[tfm=netstandard2.0]Microsoft.Azure.EventGrid,3.2.1
microsoftazureeventhubs,[tfm=netstandard2.0]Microsoft.Azure.EventHubs,4.3.2
microsoftazureeventhubsprocessor,[tfm=netstandard2.0]Microsoft.Azure.EventHubs.Processor,4.3.2
microsoftazuregraphrbac,[tfm=netstandard2.0]Microsoft.Azure.Graph.RBAC,3.8.0-preview
microsoftazurejobs,[tfm=netstandard2.0]Microsoft.Azure.Jobs,0.3.2-beta
microsoftazurejobscore,[tfm=netstandard2.0]Microsoft.Azure.Jobs.Core,0.3.2-beta
microsoftazurejobsservicebus,[tfm=netstandard2.0]Microsoft.Azure.Jobs.ServiceBus,0.3.2-beta
microsoftazurekeyvault,[tfm=netstandard2.0]Microsoft.Azure.KeyVault,3.0.5
microsoftazurekeyvaultcore,[tfm=netstandard2.0]Microsoft.Azure.KeyVault.Core,3.0.5
microsoftazurekeyvaultcryptography,[tfm=netstandard2.0]Microsoft.Azure.KeyVault.Cryptography,3.0.5
